ri,り,り.mp3
ringo,りんご,りんご.mp3
benri,べんり,べんり.mp3
rikon,りこん,りこん.mp3
tsu,つ,つ.mp3
itsu,いつ,いつ.mp3
itsutsu,いつつ,いつつ.mp3
kokonotsu,ここのつ,ここのつ.mp3
kekkon,けっこん,けっこん.mp3
kokku,こっく,こっく.mp3
nikkori,にっこり,にっこり.mp3
dzu,づ,づ.mp3
tsudzuku,つづく,つづく.mp3
tsukudzuku,つくづく,つくづく.mp3
tsudzuri,つづり,つづり.mp3
u,う,う.mp3
kou,こう,こう.mp3
tsugou,つごう,つごう.mp3
chi,ち,ち.mp3
ichi,いち,いち.mp3
nichi,にち,にち.mp3
iriguchi,いりぐち,いりぐち.mp3
ra,ら,ら.mp3
raigetsu,らいげつ,らいげつ.mp3
kurai,くらい,くらい.mp3
kochira,こちら,こちら.mp3
ta,た,た.mp3
tsuitachi,ついたち,ついたち.mp3
heta,へた,へた.mp3
tatsu,たつ,たつ.mp3
da,だ,だ.mp3
kudari,くだり,くだり.mp3
aida,あいだ,あいだ.mp3
tada,ただ,ただ.mp3
sa,さ,さ.mp3
san,さん,さん.mp3
chiisai,ちいさい,ちいさい.mp3
saidai,さいだい,さいだい.mp3
za,ざ,ざ.mp3
genzai,げんざい,げんざい.mp3
keizai,けいざい,けいざい.mp3
zaazaa,ざあざあ,ざあざあ.mp3
zarazara,ざらざら,ざらざら.mp3
ki,き,き.mp3
tsuki,つき,つき.mp3
kin,きん,きん.mp3
saki,さき,さき.mp3
gi,ぎ,ぎ.mp3
ginkou,ぎんこう,ぎんこう.mp3
tsugi,つぎ,つぎ.mp3
giragira,ぎらぎら,ぎらぎら.mp3
