hi,ひ,ひ.mp3
hitotsu,ひとつ,ひとつ.mp3
hidari,ひだり,ひだり.mp3
hyoujou,ひょうじょう,ひょうじょう.mp3
bi,び,び.mp3
nichiyoubi,にちようび,にちようび.mp3
hitobito,ひとびと,ひとびと.mp3
pi,ぴ,ぴ.mp3
shuppin,しゅっぴん,しゅっぴん.mp3
enpitsu,えんぴつ,えんぴつ.mp3
happyou,はっぴょう,はっぴょう.mp3
ya,や,や.mp3
yattsu,やっつ,やっつ.mp3
yaru,やる,やる.mp3
hayashi,はやし,はやし.mp3
hyaku,ひゃく,ひゃく.mp3
shaberu,しゃべる,しゃべる.mp3
kyaku,きゃく,きゃく.mp3
ocha,おちゃ,おちゃ.mp3
jinja,じんじゃ,じんじゃ.mp3
se,せ,せ.mp3
senshuu,せんしゅう,せんしゅう.mp3
shiraseru,しらせる,しらせる.mp3
josei,じょせい,じょせい.mp3
ze,ぜ,ぜ.mp3
gozen,ごぜん,ごぜん.mp3
anzen,あんぜん,あんぜん.mp3
zentai,ぜんたい,ぜんたい.mp3
ka,か,か.mp3
muika,むいか,むいか.mp3
kane,かね,かね.mp3
kayoubi,かようび,かようび.mp3
ga,が,が.mp3
sagaru,さがる,さがる.mp3
gaijin,がいじん,がいじん.mp3
mi,み,み.mp3
mittsu,みっつ,みっつ.mp3
mizu,みず,みず.mp3
myouji,みょうじ,みょうじ.mp3
fu,ふ,ふ.mp3
futatsu,ふたつ,ふたつ.mp3
futsuka,ふつか,ふつか.mp3
taifuu,たいふう,たいふう.mp3
bu,ぶ,ぶ.mp3
juubun,じゅうぶん,じゅうぶん.mp3
zenbu,ぜんぶ,ぜんぶ.mp3
sakubun,さくぶん,さくぶん.mp3
pu,ぷ,ぷ.mp3
tenpura,てんぷら,てんぷら.mp3
kippu,きっぷ,きっぷ.mp3
senpuuki,せんぷうき,せんぷうき.mp3
o,を,を.mp3
ki o tsukeru,きをつける,きをつける.mp3
